,name,salary_from,salary_to,salary_currency,area_name,published_at
2166,Начинающий технический специалист/оператор станка,30000.0,35000.0,RUR,Волгоград,2022-12-12T14:59:59+0300
2167,Программист-стажер 1С,25000.0,80000.0,RUR,Воронеж,2022-12-12T15:08:49+0300
2168,"Разработчик 1С: Розница, УТ",200000.0,,RUR,Москва,2022-12-12T13:42:35+0300
2169,Оператор систем спутникового мониторинга,45000.0,52000.0,RUR,Красноярск,2022-12-12T13:46:57+0300
2170,Руководитель направления образовательных проектов (Fashion индустрия),,,,Москва,2022-12-12T16:41:20+0300
2171,Главный специалист в автосервис,7000000.0,8000000.0,UZS,Ташкент,2022-12-12T15:30:59+0300
2172,Frontend React,,200000.0,RUR,Москва,2022-12-12T13:10:06+0300
2173,Механик по транспорту,50000.0,,RUR,Тула,2022-12-12T12:05:10+0300
2174,Ведущий аналитик,,,,Москва,2022-12-12T17:43:59+0300
2175,Рабочий по комплексному обслуживанию зданий,35000.0,,RUR,Ижевск,2022-12-12T14:40:43+0300
2176,Оператор станков с ЧПУ,50000.0,80000.0,RUR,Ижевск,2022-12-12T13:05:45+0300
2177,Дизайнер-верстальщик на Tilda,,,,Москва,2022-12-12T17:08:36+0300
2178,Наладчик оператор станков с ЧПУ на Фрезерный обрабатывающий центр,,,,Арамиль,2022-12-12T14:51:03+0300
2179,Процессный аналитик,,,,Москва,2022-12-12T12:02:56+0300
2180,Руководитель проекта (по направлению авиация),100000.0,140000.0,RUR,Зеленоград,2022-12-12T16:45:59+0300
2181,Web-программист,30000.0,,RUR,Курган,2022-12-12T13:27:56+0300
2182,Старший разработчик / Архитектор SAS,,,,Москва,2022-12-12T15:27:40+0300
2183,Младший консультант / бизнес-аналитик,,,,Москва,2022-12-12T14:53:31+0300
